id;name
19903;Thomas Wetter
19904;Rolf Engelbrecht
19905;Reinhold Haux
19906;Frank Puppe
19907;Hans Voß
19908;Ulrike Weiland
19909;Bernhard Nebel
19910;Christof Peltason
19911;Kai von Luck
19912;Dieter Baum
19913;Norbert Th. Müller
19914;Richard Rödler
19915;Paul R. McJones
19916;Mary F. Fernandez
19917;Jonathan Robie
19918;Donald D. Chamberlin
19919;Daniela Florescu
19920;Jérôme Siméon
19921;Mugur Stefanescu
19922;Peter Fankhauser
19923;Massimo Marchiori
19924;Mary F. Fernández
19925;Ashok Malhotra
19926;Michael Rys
19927;Philip Wadler
19928;Klaus Tschira
19929;Henk C. A. van Tilborg
19930;Sushil Jajodia
19931;Amir Hossein Gandomi
19932;Amir Hossein Alavi
19933;Conor Ryan
19934;Juan Carlos Augusto
19935;Michael Huch
19936;Achilles Kameas
19937;Julie Maitland
19938;Paul J. McCullagh
19939;Jean Roberts
19940;Andrew Sixsmith
19941;Reiner Wichert
19942;Borko Furht
19943;Max Mühlhäuser
19944;Iryna Gurevych
19945;Wai-Kai Chen
19946;Sigrid Kelsey
19947;Kirk St. Amant
19948;Shimon Y. Nof
19949;Newton Lee
19950;Benjamin W. Wah
19951;Dieter Jaeger
19952;Ranu Jung
19953;Phillip A. Laplante
19954;Rebecca Herold
19955;Chang-Tsun Li
19956;Marian Quigley
19957;Marco Aiello 0001
19958;Ian Pratt-Hartmann
19959;Johan van Benthem
19960;Yin Leng Theng
19961;Schubert Foo
19962;Dion Hoe-Lian Goh
19963;Jin-Cheon Na
19964;Edmund M. Clarke
19965;Thomas A. Henzinger
19966;Helmut Veith
19967;Roderick Bloem
19968;Jacob E. Goodman
19969;Joseph O'Rourke
19970;David G. Schwartz
19971;Dov Te'eni
19972;Miodrag Lovric
19973;Oded Maimon
19974;Lior Rokach
19975;Juan R. Rabuñal
19976;Julian Dorado
19977;Alejandro Pazos
19978;Roberto Tamassia
19979;Sang Hyuk Son
19980;Insup Lee
19981;Joseph Y.-T. Leung
19982;Paolo Bellavista
19983;Antonio Corradi
19984;Ishfaq Ahmad
19985;Sanjay Ranka
19986;Edoardo M. Airoldi
19987;David M. Blei
19988;Elena A. Erosheva
19989;Stephen E. Fienberg
19990;Mohammad Ilyas
19991;Imad Mahgoub
19992;Teofilo F. Gonzalez
19993;Jiacun Wang
19994;Kelly S. Hale
19995;Kay M. Stanney
19996;Charles J. Alpert
19997;Dinesh P. Mehta
19998;Sachin S. Sapatnekar
19999;Harold F. Tipton
20000;Micki Krause
20001;Sartaj Sahni
20002;Burton Rosenberg
20003;Sanguthevar Rajasekaran
20004;John H. Reif
20005;Paul A. Fishwick
20006;Sankar K. Pal
20007;Alfredo Petrosino
20008;Lucia Maddalena 0001
20009;Azzedine Boukerche
20010;Munindar P. Singh
20011;Henri Cohen
20012;Gerhard Frey
20013;Roberto Avanzi
20014;Christophe Doche
20015;Tanja Lange 0001
20016;Kim Nguyen
20017;Frederik Vercauteren
20018;Constantine Stephanidis
20019;Kenneth H. Rosen
20020;John G. Michaels
20021;Jonathan L. Gross
20022;Jerrold W. Grossman
20023;Douglas R. Shier
20024;Stephan Olariu
20025;Albert Y. Zomaya
20026;Richard Zurawski
20027;Shuvra S. Bhattacharyya
20028;Ed F. Deprettere
20029;Rainer Leupers
20030;Jarmo Takala
20031;Sherif Sakr
20032;David S. Doermann
20033;Karl Tombre
20034;Claude Sammut
20035;Geoffrey I. Webb
